ProductID,Supplier,Supplier Return Policy,Adjusted Price (USD),Supplier_ID,Return Policy Rank,Description
PROD021,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",46.21899653011912,S3,4,Smart LED bulb that can be controlled via app or voice assistant
PROD022,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",216.43991568125065,S2,2,Wi-Fi enabled thermostat for remote temperature control and energy savings
PROD022,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",200.34636201356287,S3,4,Wi-Fi enabled thermostat for remote temperature control and energy savings
PROD022,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",200.7048573276525,S10,3,Wi-Fi enabled thermostat for remote temperature control and energy savings
PROD023,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",69.3,S5,1,Wireless indoor/outdoor security camera with motion detection
PROD024,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",828.6043631942129,S6,4,Compact drone with camera for aerial photography and videography
PROD024,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",787.7662289682577,S4,3,Compact drone with camera for aerial photography and videography
PROD024,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",672.4763246596332,S8,5,Compact drone with camera for aerial photography and videography
PROD025,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",304.4485644427396,S4,3,Portable projector for home theater or presentations
PROD025,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",251.7339313565795,S5,1,Portable projector for home theater or presentations
PROD026,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",173.25974596380541,S6,4,High-resolution dashboard camera for recording driving footage
PROD026,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",152.7696202604283,S1,3,High-resolution dashboard camera for recording driving footage
PROD026,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",193.70000000000002,S2,2,High-resolution dashboard camera for recording driving footage
PROD027,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",202.76224327140525,S9,1,Dedicated GPS device for in-car navigation
PROD028,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",55.27956175231686,S1,3,High-capacity portable charger for smartphones and other devices
PROD029,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",31.87694418094566,S9,1,Multi-port USB hub for expanding connectivity
PROD029,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",30.660228219524313,S2,2,Multi-port USB hub for expanding connectivity
PROD029,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",34.54297024986553,S6,4,Multi-port USB hub for expanding connectivity
PROD030,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",39.03819610460726,S10,3,Power strip with surge protection to safeguard electronics
PROD030,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",50.39136973965499,S7,2,Power strip with surge protection to safeguard electronics
PROD030,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",40.81671188988383,S4,3,Power strip with surge protection to safeguard electronics
PROD031,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",397.57212966222573,S5,1,Mid-range smartphone with good battery life
PROD032,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",192.22502492566696,S10,3,Budget-friendly smartphone with essential features
PROD033,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",60.451302102296204,S2,2,Budget-friendly over-ear headphones
PROD033,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",62.3184510322073,S1,3,Budget-friendly over-ear headphones
PROD034,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",161.32329595023344,S5,1,Water-resistant earbuds for workouts
PROD035,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",84.37288894677773,S6,4,Basic fitness tracker with smartwatch features
PROD036,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",493.5659659115551,S9,1,Chromebook for cloud-based productivity
PROD037,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",221.80725593762165,S5,1,Android tablet for media consumption
PROD038,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",63.7,S9,1,Compact smart speaker
PROD038,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",60.9143021520115,S7,2,Compact smart speaker
PROD038,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",42.996415634444844,S5,1,Compact smart speaker
PROD039,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",963.672658519691,S7,2,65-inch Ultra HD television with local dimming
PROD040,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",58.569913528601546,S7,2,Mini and ultra-portable speaker
PROD041,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",173.20737027073392,S2,2,Waterproof e-reader for reading by the pool or bath
PROD042,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",467.0521240681138,S5,1,Entry-level DSLR camera
PROD042,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",548.8111170538649,S1,3,Entry-level DSLR camera
PROD042,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",541.0127219321663,S8,5,Entry-level DSLR camera
PROD043,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",300.7038164960116,S7,2,Portable gaming console
PROD043,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",296.85798860427514,S3,4,Portable gaming console
PROD044,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",56.85908969272348,S9,1,Simple step counter and sleep tracker
PROD045,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",68.20584374995566,S3,4,2TB desktop external hard drive
PROD046,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",71.07845157976975,S4,3,500GB NVMe SSD for high-speed performance
PROD047,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",47.93334858216944,S9,1,Silent wireless mouse
PROD047,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",36.64723091289218,S8,5,Silent wireless mouse
PROD048,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",88.01400638354217,S3,4,Compact wireless keyboard with trackpad
PROD049,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",218.64042212364916,S6,4,4K webcam for professional video calls
PROD050,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",278.57877361833175,S4,3,Mesh Wi-Fi system for whole-home coverage
PROD050,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",320.9063064425733,S7,2,Mesh Wi-Fi system for whole-home coverage
PROD051,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",40.156835581508254,S4,3,Color-changing smart LED strip
PROD051,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",41.07297458403082,S1,3,Color-changing smart LED strip
PROD052,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",255.3744455559378,S4,3,Learning thermostat with energy usage reports
PROD052,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",251.5030024021681,S6,4,Learning thermostat with energy usage reports
PROD052,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",265.6479586199488,S7,2,Learning thermostat with energy usage reports
PROD053,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",36.375749285292684,S8,5,Pan-tilt indoor security camera
PROD054,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",111.36238967296774,S1,3,Beginner-friendly mini drone
PROD055,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",909.5407136655559,S6,4,Short-throw projector
PROD055,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",760.4057784612478,S4,3,Short-throw projector
PROD055,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",1038.7,S2,2,Short-throw projector
PROD056,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",220.23809654128306,S7,2,Dual-lens dash cam with front and rear recording
PROD056,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",217.60719987553432,S4,3,Dual-lens dash cam with front and rear recording
PROD056,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",191.39493906006388,S6,4,Dual-lens dash cam with front and rear recording
PROD057,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",254.58970568565445,S5,1,Motorcycle GPS device
PROD057,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",303.66134920703433,S6,4,Motorcycle GPS device
PROD058,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",27.09080340420439,S3,4,Ultra-slim portable charger
PROD059,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",47.378370553452385,S10,3,Powered USB hub with individual switches
PROD059,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",49.634878466463725,S6,4,Powered USB hub with individual switches
PROD060,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",30.093101777320385,S10,3,Wall-mounted surge protector with USB ports
PROD061,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",514.5026995384605,S5,1,Rugged smartphone for outdoor activities
PROD061,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",489.91424210261346,S8,5,Rugged smartphone for outdoor activities
PROD061,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",688.3965017474333,S2,2,Rugged smartphone for outdoor activities
PROD062,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",1793.2918073939006,S2,2,Foldable smartphone
PROD063,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",458.5753292972297,S3,4,Audiophile-grade wireless headphones
PROD064,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",326.7358489642031,S9,1,Premium earbuds with exceptional audio fidelity
PROD064,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",260.4414088219233,S8,5,Premium earbuds with exceptional audio fidelity
PROD064,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",314.2231033841554,S4,3,Premium earbuds with exceptional audio fidelity
PROD065,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",211.74640180368968,S4,3,Hybrid smartwatch with analog hands and smart features
PROD065,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",235.28932864434043,S1,3,Hybrid smartwatch with analog hands and smart features
PROD066,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",1331.4008826461416,S3,4,Gaming laptop with dedicated graphics card
PROD067,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",376.07404195986027,S10,3,Graphic tablet with stylus for digital art
PROD067,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",428.3737141431058,S9,1,Graphic tablet with stylus for digital art
PROD068,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",193.70000000000002,S9,1,Smart display with a screen
PROD069,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",2462.8383784741827,S6,4,75-inch OLED Ultra HD television
PROD070,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",359.439182656586,S9,1,Party speaker with lights and karaoke features
PROD071,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",454.8404387667462,S2,2,Large-screen e-reader for PDFs and magazines
PROD071,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",394.40460619841684,S1,3,Large-screen e-reader for PDFs and magazines
PROD072,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",2131.5754381408065,S8,5,Full-frame mirrorless camera
PROD072,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",2376.291338375949,S10,3,Full-frame mirrorless camera
PROD073,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",350.1803479904136,S7,2,All-digital gaming console
PROD073,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",316.1525217049767,S6,4,All-digital gaming console
PROD073,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",231.50769734918316,S5,1,All-digital gaming console
PROD074,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",312.5952384902071,S2,2,Advanced fitness tracker with ECG and SpO2 monitoring
PROD074,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",289.2066701165679,S5,1,Advanced fitness tracker with ECG and SpO2 monitoring
PROD075,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",128.70000000000002,S7,2,4TB portable external hard drive
PROD075,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",128.70000000000002,S9,1,4TB portable external hard drive
PROD075,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",90.32079517664867,S6,4,4TB portable external hard drive
PROD076,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",214.1650086778498,S7,2,2TB SATA SSD for large storage capacity
PROD077,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",35.97598562726507,S7,2,Vertical ergonomic wireless mouse
PROD077,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",35.5064980729209,S2,2,Vertical ergonomic wireless mouse
PROD078,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",144.98486103322992,S1,3,Mechanical wireless keyboard for tactile typing
PROD079,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",269.51345996271095,S5,1,PTZ (Pan-Tilt-Zoom) webcam for professional setups
PROD079,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",297.02903581877854,S3,4,PTZ (Pan-Tilt-Zoom) webcam for professional setups
PROD080,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",230.8403671007619,S6,4,Tri-band Wi-Fi router for demanding networks
PROD080,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",299.88051381018056,S7,2,Tri-band Wi-Fi router for demanding networks
PROD080,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",323.7,S2,2,Tri-band Wi-Fi router for demanding networks
PROD081,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",152.60381898500245,S7,2,Outdoor smart spotlights
PROD081,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",141.19904045335778,S2,2,Outdoor smart spotlights
PROD081,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",143.369041363874,S10,3,Outdoor smart spotlights
PROD082,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",151.6076098586043,S5,1,Smart thermostat with voice control
PROD083,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",167.35537985754078,S5,1,Solar-powered wireless security camera
PROD083,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",221.42405345046404,S6,4,Solar-powered wireless security camera
PROD084,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",2084.238803302769,S6,4,Professional-grade drone with advanced camera and features
PROD085,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",3637.7160572094663,S4,3,Ultra short-throw laser projector
PROD086,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",299.51388249630355,S3,4,4K dash cam with GPS and parking monitoring
PROD086,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",220.84991549735818,S5,1,4K dash cam with GPS and parking monitoring
PROD087,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",993.2061440443533,S7,2,Aviation GPS device
PROD088,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",354.8449857828283,S8,5,Power station for laptops and appliances
PROD089,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",323.7,S9,1,Thunderbolt USB hub
PROD090,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",105.15981328491904,S3,4,Rack-mounted surge protector
PROD090,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",103.676945969136,S4,3,Rack-mounted surge protector
PROD090,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",105.85949080135303,S1,3,Rack-mounted surge protector
PROD091,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",867.7332378941146,S6,4,Gaming-focused smartphone with high refresh rate and cooling system
PROD091,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",695.3202602559095,S4,3,Gaming-focused smartphone with high refresh rate and cooling system
PROD092,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",767.6678851876392,S10,3,Privacy-focused smartphone with enhanced security features
PROD092,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",703.6934645330188,S6,4,Privacy-focused smartphone with enhanced security features
PROD093,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",547.6891556285706,S5,1,Open-back wireless headphones
PROD093,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",685.2163030291407,S9,1,Open-back wireless headphones
PROD094,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",168.19574943336767,S9,1,Bone conduction wireless earbuds
PROD094,Streamline Tech,"30 days for exchange or full refund, open box accepted, 10% restocking fee. Free return shipping.",145.16235173296917,S10,3,Bone conduction wireless earbuds
PROD094,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",151.01701273366425,S7,2,Bone conduction wireless earbuds
PROD095,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",620.6143215766072,S6,4,Dive smartwatch with advanced underwater features
PROD095,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",732.713627658017,S7,2,Dive smartwatch with advanced underwater features
PROD095,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",758.3183280832169,S2,2,Dive smartwatch with advanced underwater features
PROD096,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",1279.0536308053279,S3,4,2-in-1 convertible laptop
PROD096,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",1156.544701085403,S7,2,2-in-1 convertible laptop
PROD096,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",1387.3668663372198,S1,3,2-in-1 convertible laptop
PROD097,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",1734.714123429728,S1,3,Rugged tablet for industrial use
PROD097,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",1301.4339038090145,S5,1,Rugged tablet for industrial use
PROD097,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",1583.4499815403262,S4,3,Rugged tablet for industrial use
PROD098,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",245.51239353175154,S3,4,High-fidelity smart speaker
PROD098,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",242.80306437645473,S1,3,High-fidelity smart speaker
PROD098,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",181.59240652393177,S5,1,High-fidelity smart speaker
PROD099,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",3385.8256717112663,S9,1,85-inch QLED Ultra HD television
PROD100,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",174.57118788096537,S1,3,Waterproof speaker with 360-degree sound
